Order_ID,Customer_ID,Order_Date,Quantity,Product_ID
1,2525,10/30/2022,17,G
2,48193,9/1/2022,14,I
3,22105,12/16/2023,37,F
4,8925,9/14/2022,7,D
5,74573,1/15/2023,21,C
6,43277,9/26/2022,100,B
7,25060,8/21/2022,41,F
8,87817,8/17/2023,29,D
9,43522,3/19/2022,35,F
10,61166,7/5/2022,44,I
11,25973,3/3/2023,44,B
12,90738,8/1/2023,3,J
13,42653,6/21/2022,100,F
14,93802,4/1/2023,27,I
15,68997,7/19/2023,72,D
16,76470,12/13/2023,67,C
17,74583,1/29/2023,94,D
18,63644,11/16/2023,40,J
19,61946,4/16/2023,42,H
20,12634,6/3/2022,82,D
21,63848,12/20/2022,78,A
22,74499,2/17/2023,20,C
23,95311,12/27/2023,66,B
24,30722,4/8/2023,93,B
25,12012,10/7/2023,67,I
26,87778,8/27/2022,32,G
27,99150,8/25/2022,74,E
28,57181,3/15/2022,51,J
29,45486,9/19/2023,37,G
30,52980,8/16/2022,13,H
31,55743,6/20/2023,13,E
32,7323,5/31/2022,10,A
33,2816,10/9/2023,94,D
34,12073,9/13/2022,60,G
35,13112,7/15/2023,91,G
36,52040,9/20/2023,82,B
37,18172,9/18/2023,17,B
38,24890,6/21/2023,9,C
39,68873,6/19/2022,13,F
40,62684,12/22/2023,71,C
41,86396,8/25/2022,40,F
42,27636,5/20/2022,30,J
43,7852,1/22/2024,5,G
44,9227,9/20/2023,36,C
45,1504,6/12/2023,45,D
46,27163,7/20/2023,23,F
47,54581,8/24/2022,83,B
48,83633,7/21/2023,100,G
49,11928,2/12/2024,33,F
50,76260,9/16/2022,19,F
51,98276,12/1/2022,8,J
52,51011,2/24/2022,18,E
53,28679,3/5/2022,6,E
54,42078,10/6/2023,9,G
55,53272,1/11/2024,11,F
56,89941,3/4/2022,58,H
57,7831,3/1/2024,70,D
58,85972,7/31/2022,43,D
59,17687,5/18/2023,38,J
60,55578,5/31/2023,57,C
61,93355,1/24/2023,87,E
62,20860,1/11/2024,10,F
63,46987,9/24/2023,15,C
64,62475,9/25/2022,70,B
65,58700,11/24/2022,27,B
66,46829,5/25/2022,1,H
67,90077,11/11/2023,50,A
68,6708,2/4/2023,60,H
69,60836,7/2/2022,55,I
70,10846,7/25/2022,14,B
71,46322,4/11/2023,87,D
72,31197,8/14/2023,11,D
73,47487,8/5/2022,49,H
74,78942,2/21/2022,81,E
75,40219,9/28/2022,93,D
76,65933,9/13/2022,14,I
77,37809,5/25/2023,41,E
78,20316,8/14/2023,61,D
79,62927,5/2/2022,59,G
80,22101,8/28/2023,5,J
81,91733,7/21/2023,39,B
82,19217,10/29/2023,63,E
83,40387,2/1/2023,64,A
84,25402,9/30/2023,36,B
85,1519,6/23/2022,18,D
86,51845,4/20/2023,33,I
87,4091,4/25/2023,72,D
88,39207,7/22/2023,42,E
89,48329,8/28/2023,83,E
90,92928,2/28/2022,94,C
91,85290,2/7/2023,8,C
92,236,11/15/2023,6,I
93,7240,2/12/2023,59,H
94,82325,7/26/2022,29,B
95,10702,10/31/2023,33,H
96,31854,10/17/2023,40,E
97,17827,2/8/2023,15,H
98,93942,12/29/2022,70,F
99,41410,1/31/2024,12,E
100,34321,4/30/2022,33,B
101,14826,3/28/2022,85,A
102,29692,6/20/2022,27,I
103,88982,9/12/2022,85,D
104,16554,12/25/2022,90,H
105,71380,12/29/2022,74,G
106,66417,7/25/2022,75,E
107,43023,11/4/2023,62,G
108,49649,7/20/2022,68,F
109,24303,3/5/2023,61,J
110,37300,4/27/2022,76,G
111,25522,12/29/2022,61,B
112,55038,7/11/2022,27,A
113,75325,12/14/2023,49,D
114,70893,12/20/2022,75,F
115,63671,4/2/2022,94,A
116,28229,4/21/2023,52,G
117,93928,6/9/2022,32,B
118,52360,10/8/2022,24,E
119,41365,8/4/2022,88,J
120,45778,9/25/2022,10,H
121,25172,3/27/2023,79,D
122,78734,8/18/2023,43,H
123,26467,10/5/2023,96,A
124,48087,3/13/2023,79,B
125,98725,11/30/2022,9,D
126,74610,10/5/2023,4,F
127,61376,6/2/2023,6,D
128,13006,11/8/2022,58,B
129,90439,11/28/2022,70,G
130,71448,12/13/2023,5,I
131,14332,10/18/2023,87,I
132,47121,3/21/2022,13,I
133,46327,9/9/2022,94,J
134,32301,12/2/2023,75,G
135,52701,4/21/2022,57,F
136,60907,7/30/2023,6,E
137,14427,1/14/2024,22,C
138,78036,11/18/2023,74,A
139,29334,3/18/2022,53,A
140,7795,10/15/2023,85,H
141,96690,2/15/2023,63,H
142,70386,7/30/2023,59,C
143,23075,4/29/2023,73,C
144,66425,11/3/2023,56,G
145,1861,9/12/2022,85,G
146,48867,3/28/2022,4,A
147,81185,7/14/2023,67,B
148,65934,1/15/2024,10,I
149,49880,5/3/2022,41,D
150,5078,1/14/2024,86,E
151,54237,11/20/2023,13,A
152,68927,10/26/2022,45,B
153,78311,1/21/2023,37,E
154,49127,6/23/2023,44,D
155,62449,7/24/2023,93,J
156,94260,3/10/2022,92,D
157,20870,6/12/2023,37,B
158,51994,5/15/2023,11,F
159,55000,8/8/2022,83,D
160,21981,1/22/2023,90,A
161,72824,8/17/2022,30,A
162,14362,2/9/2024,86,F
163,93349,7/14/2022,3,A
164,45949,3/29/2022,51,G
165,88759,10/30/2023,23,D
166,6614,9/10/2023,10,C
167,79221,9/30/2022,32,D
168,44856,4/24/2022,96,D
169,35376,4/8/2023,53,A
170,94947,3/19/2022,65,I
171,10928,10/8/2022,26,F
172,29481,12/2/2023,48,E
173,99304,8/21/2023,47,F
174,16085,2/23/2023,74,A
175,93241,4/1/2022,25,G
176,4138,11/21/2023,22,A
177,2673,1/10/2023,34,I
178,56935,5/18/2023,2,F
179,87885,8/27/2023,69,J
180,92838,11/1/2022,91,D
181,45177,4/17/2022,91,B
182,59762,9/22/2023,49,C
183,90418,12/26/2023,69,B
184,58097,2/14/2023,53,F
185,87071,9/4/2022,65,C
186,52245,2/25/2023,32,E
187,64692,9/11/2023,53,G
188,55796,9/6/2022,81,E
189,76971,10/11/2022,22,A
190,33839,5/30/2023,13,G
191,94280,9/29/2023,68,J
192,86363,1/24/2023,5,I
193,2404,1/7/2024,46,I
194,92349,3/17/2023,4,E
195,64537,9/4/2023,92,J
196,98868,7/29/2022,29,G
197,25852,1/3/2023,54,G
198,61446,1/7/2024,15,D
199,8224,10/9/2022,15,A
200,47971,3/23/2023,55,C
201,94630,11/13/2023,70,J
202,49458,8/2/2022,8,J
203,54442,2/11/2023,64,H
204,36540,5/31/2022,81,D
205,83621,4/9/2022,90,A
206,43659,9/22/2023,47,J
207,18436,2/26/2023,11,G
208,24473,2/13/2024,35,F
209,49313,4/19/2023,25,F
